TEC ID,TEC Expiry,Contract Description,Unit ID,Action Notice No.,Loadout Date,Loadout Location,Backload Date,Backload Sheet No.,Description,Size,SWL,Remarks,Status,Cert Validity,Days Offshore,Category,Type,TEC Group,Cert 1 Type,Cert 1 ID,Cert 1 Inspection Date,Cert 1 Expiry Date,Cert 2 Type,Cert 2 ID,Cert 2 Inspection Date,Cert 2 Expiry Date,Cert 3 Type,Cert 3 ID,Cert 3 Inspection Date,Cert 3 Expiry Date
EOG-02974,45540,N01.008 - Webbing Sling,EOG WB4T GL 83508,TUA-02/08/23,15-Sep-23,TuA,,,WEBBING SLING 4T X 3M,,,,,< 8 weeks,319,Non-Chargeable,Expiring,Lifting & Positioning,,,,,,,,,,,,
EOG-02975,45540,N01.008 - Webbing Sling,EOG WB4T GL 83509,TUA-02/08/23,15-Sep-23,TuA,,,WEBBING SLING 4T X 3M,,,,,< 8 weeks,319,Non-Chargeable,Expiring,Lifting & Positioning,,,,,,,,,,,,
EOG-02977,45540,N01.008 - Webbing Sling,EOG WB4T GL 83511,TUA-02/08/23,15-Sep-23,TuA,,,WEBBING SLING 4T X 3M,,,,,< 8 weeks,319,Non-Chargeable,Expiring,Lifting & Positioning,,,,,,,,,,,,
EOG-00104,,C01.001 - Consumables Item,N/A,,31-May-23,GuB,,,ACETYLENE REGULATOR,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00110,,C01.001 - Consumables Item,N/A,,31-May-23,GuA,,,AIR HOSE 1'' 25MTR PER LENGTH,"1"" X 25 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00111,,C01.001 - Consumables Item,N/A,,31-May-23,GuB,,,AIR HOSE 1'' 30MTR PER LENGTH,"1"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00112,,C01.001 - Consumables Item,N/A,,31-May-23,GuC,,,AIR HOSE 1'' 30MTR PER LENGTH,"1"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00113,,C01.001 - Consumables Item,N/A,,31-May-23,GuC,,,AIR HOSE 1/2'' 25MTR PER LENGTH,"1/2"" X 25 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00114,,C01.001 - Consumables Item,N/A,,31-May-23,GuC,,,AIR HOSE 1/2'' 25MTR PER LENGTH,"1/2"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
EOG-00115,,C01.001 - Consumables Item,N/A,,31-May-23,GuA,,,AIR HOSE 1/2'' 30MTR PER LENGTH,"1/2"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,,,,,,,,,,,,,
