No,Buy Date,Size,Tagging No,Serial No,Qty In House,Qty Valid,Qty Damage,Qty In Use,Inspection Date,Inspection Due Date,Date Request,AN / BL No,Date Return,Status,Validity,Remarks,Code,Item Group
1,TBA,25MM X 1T X 1MTR,EOG WB 1T GL 79724,,,0,,1,2023-06-01,2024-05-31,,,,EXPIRED,-62,,A1,IG1
2,TBA,25MM X 1T X 1MTR,EOG WB 1T GL 79725,,,0,,1,2023-06-01,2024-05-31,,,,EXPIRED,-62,,A1,IG1
3,TBA,25MM X 1T X 1MTR,EOG WB 1T GL 79726,,,0,,1,2023-06-01,2024-05-31,,,,EXPIRED,-62,,A1,IG1
4,TBA,25MM X 1T X 1MTR,EOG WB 1T GL 79727,,,0,,1,2023-06-01,2024-05-31,,,,EXPIRED,-62,,A1,IG1
5,TBA,25MM X 1T X 1MTR,EOG WB 1T GL 79728,,,0,,1,2023-06-01,2024-05-31,,,,EXPIRED,-62,,A1,IG1
6,TBA,25MM X 1T X 1MTR,EOG WB 1T GL 79729,,,0,,1,2023-06-01,2024-05-31,,,,EXPIRED,-62,,A1,IG1
7,TBA,25MM X 1T X 1MTR,EOG WB 1T GL 79730,,,0,,1,2023-06-01,2024-05-31,,,,EXPIRED,-62,,A1,IG1
8,TBA,25MM X 1T X 1MTR,EOG WB 1T GL 79731,,,0,,1,2023-06-01,2024-05-31,,,,EXPIRED,-62,,A1,IG1
9,TBA,25MM X 1T X 1MTR,EOG WB 1T1M 24/01,,1,0,,,2022-01-01,2023-12-31,,,,EXPIRED,-214,SR54955 RECERT ON 25/2/24,A1,IG1
10,TBA,25MM X 1T X 1MTR,EOG WB 1T1M 24/02,,1,0,,,2022-01-01,2023-12-31,,,,EXPIRED,-214,SR54955 RECERT ON 25/2/24,A1,IG1
11,TBA,25MM X 1T X 1MTR,EOG WB 1T1M 24/03,,1,0,,,2022-01-01,2023-12-31,,,,EXPIRED,-214,SR54955 RECERT ON 25/2/24,A1,IG1
12,TBA,25MM X 1T X 1MTR,EOG WB 1T1M 24/04,,1,0,,,2022-01-01,2023-12-31,,,,EXPIRED,-214,SR54955 RECERT ON 25/2/24,A1,IG1
13,TBA,25MM X 1T X 1MTR,EOG WB 1T1M 24/05,,1,0,,,2022-01-01,2023-12-31,,,,EXPIRED,-214,SR54955 RECERT ON 25/2/24,A1,IG1
14,TBA,25MM X 1T X 1MTR,EOG WB 1T1M 24/06,,1,0,,,2022-01-01,2023-12-31,,,,EXPIRED,-214,SR54955 RECERT ON 25/2/24,A1,IG1
