EOG-02974,5/9/2024,N01.008 - Webbing Sling,EOG WB4T GL 83508,TUA-02/08/23,15/9/2023,TuA,,,WEBBING SLING 4T X 3M,,,,,< 8 weeks,319,Non-Chargeable,Expiring,Lifting & Positioning
EOG-02975,5/9/2024,N01.008 - Webbing Sling,EOG WB4T GL 83509,TUA-02/08/23,15/9/2023,TuA,,,WEBBING SLING 4T X 3M,,,,,< 8 weeks,319,Non-Chargeable,Expiring,Lifting & Positioning
EOG-02977,5/9/2024,N01.008 - Webbing Sling,EOG WB4T GL 83511,TUA-02/08/23,15/9/2023,TuA,,,WEBBING SLING 4T X 3M,,,,,< 8 weeks,319,Non-Chargeable,Expiring,Lifting & Positioning
EOG-00104,,C01.001 - Consumables Item,N/A,,31/5/2023,GuB,,,ACETYLENE REGULATOR,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00110,,C01.001 - Consumables Item,N/A,,31/5/2023,GuA,,,AIR HOSE 1'' 25MTR PER LENGTH,"1"" X 25 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00111,,C01.001 - Consumables Item,N/A,,31/5/2023,GuB,,,AIR HOSE 1'' 30MTR PER LENGTH,"1"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00112,,C01.001 - Consumables Item,N/A,,31/5/2023,GuC,,,AIR HOSE 1'' 30MTR PER LENGTH,"1"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00113,,C01.001 - Consumables Item,N/A,,31/5/2023,GuC,,,AIR HOSE 1/2'' 25MTR PER LENGTH,"1/2"" X 25 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00114,,C01.001 - Consumables Item,N/A,,31/5/2023,GuC,,,AIR HOSE 1/2'' 25MTR PER LENGTH,"1/2"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00115,,C01.001 - Consumables Item,N/A,,31/5/2023,GuA,,,AIR HOSE 1/2'' 30MTR PER LENGTH,"1/2"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00116,,C01.001 - Consumables Item,N/A,,31/5/2023,GuB,,,AIR HOSE 1/2'' 30MTR PER LENGTH,"1/2"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00117,,C01.001 - Consumables Item,N/A,,31/5/2023,GuC,,,AIR HOSE 1/2'' 30MTR PER LENGTH,"1/2"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00118,,C01.001 - Consumables Item,N/A,,31/5/2023,GuA,,,AIR HOSE 3/4'' 25MTR PER LENGTH,"3/4"" X 25 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00119,,C01.001 - Consumables Item,N/A,,31/5/2023,GuB,,,AIR HOSE 3/4'' 30MTR PER LENGTH,"3/4"" X 30 M",N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00128,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,ALLEN KEY,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00129,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuC,,,ALLEN KEY SET,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00130,,C01.001 - Consumables Item,N/A,,31/5/2023,GuB,,,ARGON REGULATOR,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00131,,C01.001 - Consumables Item,N/A,,31/5/2023,GuA,,,ARGON TOURCH,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00132,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,BAND-IT TOOLS,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00134,,B16.002 - Battery Operated Floodlight,EOG-2021-11-PS-141,,31/5/2023,PaA,,,BATTERY OPERATED FLOODLIGHT,N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,
EOG-00135,,C01.001 - Consumables Item,N/A,,31/5/2023,GuA,,,BATTERY WELDING MACHINE 12V,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00136,,C01.001 - Consumables Item,N/A,,31/5/2023,GuA,,,BLAZING POWER TORCH,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00162,22/10/2024,N01.011 - Non-Chargeable Cargo Basket,FSSM 1328,,14/11/2023,GuA,,,CARGO CONTAINER,6.2FT X 5.3FT X 9.3FT,TBC,,,Valid,259,Non-Chargeable,Expiring,Cargo Handling and Lifting
EOG-00183,1/11/2024,N01.017 - Oxygen Gas C/W Cylinder,4253,TUA 004/10/23,1/12/2023,TuA,,,OXYGEN GAS CYLINDER,,,,,Valid,242,Non-Chargeable,Expiring,Pressure Equipment
EOG-00195,9/1/2025,B05.011 - Chain Blocks – 1 ½ MT,EOG CHB 19044904,GUDP 006/12/23,22/1/2024,GuDP,,,CHAIN BLOCK - 1.5 TON,N/A,1.5 TON,,,Valid,190,Chargeable,Expiring,Rigging Equipment
EOG-00196,9/1/2025,B05.011 - Chain Blocks – 1 ½ MT,EOG CHB 98970,GUDP 006/12/23,22/1/2024,GuDP,,,CHAIN BLOCK - 1.5 TON,N/A,1.5 TON,,,Valid,190,Chargeable,Expiring,Rigging Equipment
EOG-00205,,N01.025 - Walkie Talkie,EPIC-18,,31/5/2023,GuA,,,WALKIE TALKIE C/W CHARGER & HANDFREE,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,Miscellaneous
EOG-00208,5/2/2024,B05.030 - Pneumatic Impact Wrench,EOG-2023-11-IW-257,,9/8/2023,GuA,,,"PNEUMATIC IMPACT WRENCH - 3/4"" DRIVE","3/4"" DRIVE",N/A,,,Non-Expiring,356,Chargeable,Non-Expiring,Rigging Equipment
EOG-00209,6/2/2024,B05.030 - Pneumatic Impact Wrench,EOG-2023-11-IW-258,,9/8/2023,GuA,,,"PNEUMATIC IMPACT WRENCH - 3/4"" DRIVE","3/4"" DRIVE",N/A,,,Non-Expiring,356,Chargeable,Non-Expiring,Rigging Equipment
EOG-00233,1/4/2025,B05.013 - Chain Blocks – 5 MT,EOG CHB 1808550010,GUB 01/03/24,7/5/2024,GuB,,,CHAIN BLOCK - 5 TON,N/A,5 TON,,,Valid,84,Chargeable,Expiring,Rigging Equipment
EOG-00242,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,CHIPPING HAMMER,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00243,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,CHIPPING HAMMER,N/A,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00254,30/6/2024,B01.025 - Cold Cutting Pipe Saw,EOG-ASD-19/19,GUDP 006/12/23,12/2/2024,GuDP,,,COLD CUTTING PIPE SAW (ASADA),N/A,N/A,,,Non-Expiring,169,Chargeable,Non-Expiring,
EOG-00255,31/12/2023,B01.025 - Cold Cutting Pipe Saw,EOG-ASD-14/19,,31/5/2023,GuA,,,COLD CUTTING PIPE SAW (ASADA),N/A,N/A,,,Non-Expiring,426,Chargeable,Non-Expiring,
EOG-00256,31/12/2023,B01.025 - Cold Cutting Pipe Saw,EOG-ASD-01/19,,9/8/2023,PaA,,,COLD CUTTING PIPE SAW (ASADA),N/A,N/A,,,Non-Expiring,356,Chargeable,Non-Expiring,
EOG-00257,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,COMBINATION SPANNER,22 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00258,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,COMBINATION SPANNER,24 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00259,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,COMBINATION SPANNER,27 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00260,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,COMBINATION SPANNER,29 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00261,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,COMBINATION SPANNER,30 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00262,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,COMBINATION SPANNER,32 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00263,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,COMBINATION SPANNER,36 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00264,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,COMBINATION SPANNER,41 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00265,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,COMBINATION SPANNER,46 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00266,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,COMBINATION SPANNER,50 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00267,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,COMBINATION SPANNER,55 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00268,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,COMBINATION SPANNER,75 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00269,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuB,,,COMBINATION SPANNER,80 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00270,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuC,,,COMBINATION SPANNER,27 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00271,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuC,,,COMBINATION SPANNER,32 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00272,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuC,,,COMBINATION SPANNER,36 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00273,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuC,,,COMBINATION SPANNER,41 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00274,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuC,,,COMBINATION SPANNER,46 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00275,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuC,,,COMBINATION SPANNER,50 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00276,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,COMBINATION SPANNER 22MM, 22MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00277,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,COMBINATION SPANNER 24MM, 24MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00278,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,COMBINATION SPANNER 27MM, 27MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00279,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,COMBINATION SPANNER 29MM, 29 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00280,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,COMBINATION SPANNER 30MM, 30 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00281,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,COMBINATION SPANNER 32MM, 32 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00282,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,COMBINATION SPANNER 36MM, 36 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00283,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,COMBINATION SPANNER 41MM, 41 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00284,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,COMBINATION SPANNER 46MM, 46 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00285,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,COMBINATION SPANNER 50MM, 50 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
EOG-00286,,D01.001 - Multi Qty General Tool / Equipment,N/A,,31/5/2023,GuA,,,COMBINATION SPANNER 55MM, 55 MM,N/A,,,Non-Expiring,426,Non-Chargeable,Non-Expiring,
